231	1	605	52
231	1	1325	70
42	0	105	52
231	1	755	81
20	1	643	81
17	1	1152	24
38	2	1485	76
3	0	574	47
13	1	722	62
17	1	669	58
7	0	268	70
231	1	1225	62
79	1	647	76
64	0	342	44
231	1	952	81
60	0	61	33
17	0	112	47
79	1	694	47
20	0	93	58
231	1	1090	58
917	1	916	62
5	1	620	81
11	0	571	37
13	1	963	58
7	0	207	24
353	1	942	33
20	0	216	44
767	2	1470	47
365	1	618	58
231	2	1439	70
231	1	1108	76
20	0	491	47
1410	2	1503	78
85	0	202	81
13	1	707	76
42	0	296	58
20	0	549	52
24	0	462	38
231	1	672	81
20	1	791	76
231	1	602	62
17	2	1508	24
79	2	164	62
722	2	1501	38
5	0	41	70
64	0	499	62
231	1	1154	76
9	0	141	33
20	0	348	47
5	1	753	40
164	0	219	70
0	1	642	33
231	1	844	62
231	1	1235	62
231	1	1295	58
7	0	548	47
231	1	644	81
5	1	637	70
79	1	618	81
231	1	1157	70
365	0	366	58
231	1	649	81
20	2	1437	38
3	0	579	38
79	2	1424	81
13	1	618	38
7	0	440	70
79	1	945	44
1396	2	1533	81
231	1	1373	76
5	1	701	44
231	1	1030	81
1213	2	1545	44
231	1	885	70
0	1	690	58
231	1	965	76
231	1	1042	58
231	1	1072	58
79	1	898	62
0	0	82	24
79	1	704	38
79	0	118	52
0	0	2	38
79	1	597	33
79	1	655	58
42	2	1585	33
79	1	1251	24
231	1	1150	52
20	0	541	52
397	1	677	38
20	1	640	33
231	1	1122	81
231	1	890	62
231	1	1306	81
231	1	1071	58
20	2	1459	58
0	1	676	33
1396	2	1558	52
375	0	378	81
79	1	740	33
11	2	1574	76
20	0	393	62
231	1	685	58
614	1	856	70
62	0	156	24
397	0	406	38
85	2	1544	76
231	1	1363	70
9	0	98	70
36	0	91	44
13	0	287	10
231	1	1362	52
7	0	92	47
231	1	1137	76
24	0	230	33
231	1	1058	70
231	1	888	70
5	1	618	58
231	1	671	81
17	0	381	58
79	1	708	24
20	1	620	81
231	1	1388	58
231	1	699	76
231	1	726	58
312	1	1390	52
231	1	752	76
58	0	370	70
231	1	1038	52
20	0	468	33
3	2	1514	38
231	1	860	58
231	1	1316	58
365	1	1269	52
231	1	988	62
20	0	243	44
231	1	1338	70
231	1	1233	58
3	0	49	29
1414	2	1415	72
1456	2	1457	47
38	2	534	23
231	1	1173	52
231	1	1389	81
5	1	6	33
20	0	414	33
231	1	891	47
20	1	1116	24
231	1	966	62
231	1	1156	70
64	0	203	81
231	1	1238	62
365	1	676	58
13	1	597	44
13	1	1313	58
36	0	37	62
231	1	1025	76
231	1	970	70
1421	2	1422	24
5	1	717	44
231	1	892	81
79	0	280	62
0	1	618	24
630	1	631	76
231	1	804	81
231	1	941	52
231	1	736	62
767	2	1451	76
20	0	174	76
79	2	27	52
17	1	1178	52
13	0	192	33
