1966-01	0
1978-06	1
1979-01	2
1994-01	3
1995-01	4
1996-01	5
1997-01	6
1998-01	7
2000-12	8
2001-01	9
2002-01	10
2003-01	11
2008-01	12
2009-01	13
2009-10	14
2010-01	15
2010-04	16
2011-01	17
2012-01	18
2012-10	19
2013-01	20
2013-11	21
2013-12	22
2014-00	23
2014-01	24
2014-02	25
2014-04	26
2014-05	27
2014-07	28
2014-09	29
2014-11	30
2014-12	31
2015-00	32
2015-01	33
2015-02	34
2015-11	35
2015-12	36
2016-00	37
2016-01	38
2016-04	39
2016-05	40
2016-07	41
2016-09	42
2016-12	43
2017-01	44
2017-12	45
2018-00	46
2018-01	47
2018-02	48
2018-03	49
2018-04	50
2019-00	51
2019-01	52
2019-02	53
2019-03	54
2019-06	55
2019-12	56
2020-00	57
2020-01	58
2020-03	59
2020-12	60
2021-00	61
2021-01	62
2021-02	63
2021-03	64
2021-05	65
2021-06	66
2021-10	67
2021-12	68
2022-00	69
2022-01	70
2022-02	71
2022-04	72
2022-11	73
2022-12	74
2023-00	75
2023-01	76
2023-02	77
2023-04	78
2023-12	79
2024-00	80
2024-01	81
2024-04	82
2024-07	83
2024-09	84
2024-12	85
2026-03	86
